Timestamp,longitude,latitude,Speed,Operatorname,Operator,CGI,Node,HR,id,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,rssi,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SIN(LAT2),COS(LAT2),LONG2-LONG1,COS(LONG2-LONG1),SIN(LAT1)*SIN(LAT2),cos(lat1) * cos(lat2) ,cos(lat1) * cos(lat2) * cos(long2 – long1)],(sin(lat1) * sin(lat2)) + cos(lat1) * cos(lat2) * cos(long2 – long1)],ARCOS,3963*ARCOS,KILOMETERS(D2),(D2)^2,(Tx-Rx)^2+(D2)^2,D3 = sqrt((Tx-Rx)^2+(D2)^2)
2022.11.14_15.37.21,80.153975,12.844203,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-73,-12,19.2,-,-63,39150,1,8,229,0,0,7,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,6,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274271803,0.961652213,-0.002369,0.999997194,0.075829612,0.924167759,0.924165166,0.999994778,0.003231785,12.80756232,20.61177357,424.8452097,2204.84131,46.95573777
2022.11.14_15.37.38,80.153899,12.84415,4,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-81,-14,11.4,-,-63,39150,0,13,229,-63,-63,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,20,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274220835,0.961666748,-0.002445,0.999997011,0.075815521,0.924181728,0.924178965,0.999994486,0.003320919,13.1608016,21.18025708,448.6032901,2228.59939,47.2080437
2022.11.14_15.37.48,80.153806,12.844146,4,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-83,-13,6.6,-,-63,39150,2,2,229,-63,-63,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,22,,,,,29,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274216989,0.961667844,-0.002538,0.999996779,0.075814457,0.924182782,0.924179805,0.999994262,0.003387562,13.42490854,21.60529601,466.7888155,2246.784916,47.40026282
2022.11.14_15.38.02,80.153707,12.844145,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-82,-13,6.8,-,-63,39150,0,0,229,-65,-65,5,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,36,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274216027,0.961668119,-0.002637,0.999996523,0.075814191,0.924183045,0.924179832,0.999994023,0.003457421,13.70176061,22.05084623,486.2398196,2266.23592,47.60499889
2022.11.14_15.38.07,80.153707,12.844145,2,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-82,-13,13.6,-,-63,39150,0,0,229,-65,-65,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG_END,,,,36,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274216027,0.961668119,-0.002637,0.999996523,0.075814191,0.924183045,0.924179832,0.999994023,0.003457421,13.70176061,22.05084623,486.2398196,2266.23592,47.60499889
2022.11.14_15.38.19,80.153659,12.844133,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-75,-14,8.4,-,-63,39150,4,11,229,0,0,5,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,LOG START,,,,4,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274204487,0.961671409,-0.002685,0.999996395,0.075811001,0.924186208,0.924182876,0.999993877,0.003499492,13.86848507,22.31916324,498.1450475,2278.141148,47.72987689
2022.11.14_15.38.19,80.153653,12.844134,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-75,-14,8.4,-,-63,39150,4,11,229,-65,-65,6,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,4,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274205449,0.961671135,-0.002691,0.999996379,0.075811266,0.924185944,0.924182598,0.999993864,0.003503074,13.8826808,22.34200905,499.1653686,2279.161469,47.74056418
2022.11.14_15.38.33,80.153588,12.844208,3,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-81,-13,7.4,-,-63,39150,636,57,229,-67,-67,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,16,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274276612,0.961650841,-0.002756,0.999996202,0.075830941,0.924166441,0.924162931,0.999993873,0.003500641,13.87304133,22.32649583,498.4724159,2278.468516,47.73330615
2022.11.14_15.38.43,80.153537,12.844286,3,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-86,-13,6.6,-,-63,39150,105,74,229,-68,-68,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,25,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.27435162,0.961629445,-0.002807,0.99999606,0.075851679,0.924145879,0.924142238,0.999993917,0.003487934,13.822681,22.24544874,494.8599895,2274.856089,47.69545145
2022.11.14_15.39.02,80.153459,12.844237,0,40440,40440,4.04E+14,606562,24.30939227,11,42107,4G,4G,-87,-14,3.2,-,-64,39150,3,6,229,-63,-63,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.101.126.137,21,,,,,37,B,94162,A47B,155279883,19.7,375,Xiaomi:Redmi Note 6 Pro:PKQ1.180904.001,L40,20,0.274304499,0.961642887,-0.002885,0.999995838,0.075838652,0.924158797,0.924154951,0.999993602,0.00357702,14.17572841,22.81362346,520.4614154,2300.457515,47.96308492
